============================================================
来源文件: xueshu_01.txt
============================================================
=== Sheet: Sheet1 (211x3) ===
吉林大学本科学生学科竞赛体系（2022） |  | 
序号 | 竞赛项目名称 | 评定等级
衡量的唯一标准
科研论文更注重过程的展开，观点的总结陈述，以及体现思维过程
课题难度分级适合不同类型的学生（学生背景）
师从名校教授，充实学术经历（更多机会）
项目制研究方式，社会实践和学术理论相结合
学术报告/论文产出，更好总结学生的科研成果（外化证明）
软实力综合训练，丰富个人履历，提升学生个人竞争力（能力认证）
师从学术大牛
课题院校的老师均在学术领域范围内有自己独到的见解，多年的教龄更容易带领学生以更好的方式进行
学术科研研究
科研相关概念
SCIENTIFIC RESEARCH RELATED CONCEPTS
公众号：清北保研路

--- 第15页 ---
大学生获得科研经历的途径   |   13
ACADEMIC RESEARCH WHITE PAPER
大学生获得科研经历的途径
WAYS FOR COLLEGE STUDENTS TO GAIN SCIENTIFIC RESEARCH EXPERIENCE
竞赛类
需要通过学校报名参与，通过校级省级全国级的比赛，最终获得名次和结果
典型代表：全国大学生系列科技学术竞赛、大学生创新创业项目
校内科研类
在本校参与的科研项目，一般只要通过学校教授的同意即可参与
典型代表：学校导师的科研项目，学校毕业论文，学术论文等
校外科研类
在外校参与的科研项目，需要提出申请，面试，通过后才可以参与
典型代表：国内课题组科研助理，国外暑期科研助理
公众号：清北保研路

--- 第16页 ---
大学生获得科研经历的途径   |   14 
ACADEMIC RESEARCH WHITE PAPER
大学生可参与的科研项目类型⸺竞赛类
评分细则：大创的评分一般从五个维度展开。
创新维度，是否有专利等创新成果；
团队维度，是否有良好的团队配置；
商业维度，商业计划是否完整，市场调研是否详实；
就业维度，是否能够提供就业岗位；
教育维度，其他获得的支持。
右图为具体的大创评分表格。
整体而言大创还是以创业为主，能不能被称之为科研其实取决于最后的论文情况或者是否立项。
典型代表：中国“互联网+”大学生创新创业大赛，又称大创，由教育部与政府、各高校共同主办的一项技能大赛。
大赛旨在深化高等教育综合改革，激发大学生的创造力，培养造就“大众创业、万众创新”的主力军。
大创比赛流程：
1、参赛报名：4月，通过登录“全国大学生创业服务完”进行报名，报名截止到8月。
2、初赛复赛：6-8月。初赛有学校自行决定比赛环节和评审方式，复赛由省级自行决定比赛环节和评审方式。
3、决赛：10月下旬。大赛专家委员会进行网上评审，选出优秀项目进行总决赛现场比赛。
竞赛类-“互联网+”大学生创新创业大赛
公众号：清北保研路

--- 第17页 ---
大学生获得科研经历的途径   |   15 
ACADEMIC RESEARCH WHITE PAPER
典型代表：“ 挑战杯”全国大学生课外学术科技作品竞赛，就是我们常说的挑战杯，挑战杯”竞赛在中国共有两个并列
项目，一个是“ 挑战杯”全国大学生课外学术科技作品竞赛（大挑）； 另一个则是“ 挑战杯”中国大学生创业计划竞赛（小
挑），其中大挑属于学术科研竞赛，小挑则不是，两个比赛每年交替进行，比如今年是大挑，那么明年就是小挑。
大挑典型作品：
大挑比赛流程：目前分为“学生申报阶段”-“校级审核阶段”-“团省委审核阶段”。省级管理员通过登录后通过“阶段控制”
来控制比赛进程，各省根据自己情况制定各阶段的时间，最晚于6 月10 日前完成网络报备。
“ 学生申报阶段”：各参赛团队自行注册账号，进入官网点击“ 省赛/ 报备”，并选择所在省份加入比赛。
然后进行作品信息填报，并提交。 
“ 校级审核阶段”：各校级管理员登录审核作品，进入官网点击“ 省赛/ 报备”，并选择所在省份。针对需
要修改的作品，可在审核时将其置为“ 审核预通过”状态，参赛团队即可登录修改。 
“ 团省委审核阶段”：省级管理员登录审核作品，进入官网点击“ 省赛/ 报备”，并选择所在省份。针对需
要修改的作品，同样可在审核时将其置为“ 审核预通过”状态，参赛团队即可登录修改。
竞赛类-“挑战杯”全国大学生学术科技作品竞赛
公众号：清北保研路

--- 第18页 ---
大学生获得科研经历的途径   |   16 
ACADEMIC RESEARCH WHITE PAPER
大学生可参与的科研项目类型⸺校内科研类
申请方式：可以找找自己院系里的课题项目，这些资料在学校官网都会有，同学们可以先了解一下，找找看有没有适
合自己的课题，再联系项目的导师
很多学校的系主页上面都有导师的介绍以及研究课题，以及相关的课题研究，感兴趣的同学可以直接去搜集相关论文
和研究课题，去找教授即可。
如图所示：
大学校园里会有很多现成的科研项目，这些项目同学们都是可以自己申请进组
校内导师项目
国家是很鼓励青年学生从事科研的，每年都会有一笔科研经费与不少科研名额拨下来。
申请方式：可以在中国知网的科研项目申报信息库关注一下立项信息⸺这里面有很多项目、学科与行业的资料。可
以参考右图，都是研究课题，可以自行申请。
自行立项
公众号：清北保研路

--- 第19页 ---
大学生获得科研经历的途径   |   17 
ACADEMIC RESEARCH WHITE PAPER
大学生可参与的科研项目类型⸺竞赛类
相关内容：许多高校都在招募本科生作为课题组的科研助理，诸如武汉大学、中山大学都有对外公开的科研助理招聘
公告，需要关注行业资讯、学校官网以获得信息。
但是注意这部分岗位通常要求全职投入，因此适用于毕业生，详见右图招募需求。
申请流程：看到招聘信息后投递简历，如果合适的情况下会安排面试并予以录取。
科研助理
国外各大高校的暑期科研！像UCLA 举办的CSST 暑期科研项目、斯坦福大学的UGVR 计划等。
方式：国外大学官网，中介机构等。
以CSST 暑期科研项目为例。
相关内容：每年在大陆及日本的20 多所学校大三学生中招收100 名左右STEM 及人文社科学生于大三结束暑假（对医
学生是大四）赴UCLA 的各实验室在导师指导下进行为期10 周的科研实习。
申请流程：每年9-10 月份左右很多学校教务/ 外事网站上会贴出通知，申请材料包括成绩单语言成绩（非必须）CVPS
等（理解成做一次申请即可）大概每年12 月份出初审材料结果之后会有UCLA 老师来面试2 月左右出最终结果。
暑期科研
公众号：清北保研路

--- 第20页 ---
科研能力模型   |   18 
ACADEMIC RESEARCH WHITE PAPER
科研能力模型
SCIENTIFIC RESEARCH CAPABILITY MODEL
质疑能力
联想能力
学习能力
发现问题
提出方案
实验验证
项目实施/实验操作
项目失败-溯源-重做
形成论文
快速阅读能力
归纳总结能力
逻辑思维能力
组织实施能力
抗压能力
分析能力
口头表达能力
写作表达能力
做科研就是不断进行实验、验证结果且完成论文输出的过程。
模型图片来源（创作者未知，研究院做了修改）：HTTPS://WWW.ZHIHU.COM/QUESTION/60042037/ANSWER/998416954
科
研
过
程
科
研
能
力
1
?
2
3
4
公众号：清北保研路

--- 第21页 ---
科研能力模型   |   19 
ACADEMIC RESEARCH WHITE PAPER
科研能力模型拆解
科研能力模型
能力解释
科研阶段
发现问题
提出方案
实验验证
形成论文
关键能力
质疑能力
联想能力
学习能力
快速阅读能力
归纳总结能力
逻辑思维能力
组织实施能力
抗压能力
分析能力
语言表达能力
写作表达能力
科研本身的目的是在于创造新的东西，如果不质疑前人的眼光和视野，就不能发现新
的问题。
现在的科研更多的是多领域结合的创新，要完完全全革命式的创新非常难，因此需要
将各个不同的课题和学科之间寻找彼此的联系，把看似不同的方法和事物建立关联，
才能发现问题所在。
为了更好地完成科研任务，首先需要有扎实的专业基础知识，其次需要有快速补给新
知识的快速学习及应用能力。
每天需要阅读大量的文章信息，行业信息和专业信息，应该养成每天读2-3 篇文献的
习惯，只有快速阅读文献，才能够跟进最新动态，有所产出。
需要接触的内容非常多，因此需要迅速的将现有的资料进行归纳总结，拿出现有科研
成果的发展路线图，从而提出自己的解决方案。
科研研究方向是基于假设的，在做分析的时候，要求不管最终的实验结果是否支持你
的假设，你都能基于这个结果开展下一阶段的研究。所以在提出假设的时候必须逻辑
严密（不管结果好坏，都能够发文章）。
（仅理工科）除了自己动手搭试验台，还要自己动手做试样，设计实验之后要通过动手实
验来验证，那基本的动手实验能力也是必须的。
（文商科）需要设计访谈调研，并且付诸实施。
发文章是一件长期的事情，需要承受着好几年过去了还没有文章的精神压力，也有
可能做了几年实验还是失败发不出文章，因此读博期间放弃或者精神崩溃都是常见
的事情。
实验的过程要是数据收集和分析的过程，要对异常数字保持敏感度。
对外演讲，参加学术会议、报告展示等，你的口头表达能力良好，会很占优势，能够清
楚的讲明白自己做了什么，也能让人及时抓住你的重点。
如何把自己做出的成果表达出来，就需要我们拥有过硬的写作能力。将清晰的思路完
整的写出, 然后分析数据，完整书写。
公众号：清北保研路

--- 第22页 ---
科研的重要性
Part 3 
公众号：清北保研路

--- 第23页 ---
保研篇⸺科研背提对于国内保研的帮助   |   21 
ACADEMIC RESEARCH WHITE PAPER
保研篇⸺科研背提对于国内保研的帮助
GUARANTEE AND RESEARCH -- THE HELP OF SCIENTIFIC RESEARCH BACKGROUND TO DOMESTIC GUARANTEE AND RESEARCH
第一，有助于同学获得本校的保研资格
在很多高校的保研资格选拔条件中，在以学习成绩为主的情况下，对于某些获得过科技创新方面较高奖项的学生，会有一定的
特殊政策，这就会使你的综合排名提高，尤其是对于处于保研边缘的同学，获得本校的保研资格。
例如东南大学的电子科学与工程学院的本科生免试研究生推荐细则中有如下要求，由此可见，平均成绩加上科研创新及社会工
作成绩，会成为我们的最终综合排名。
以中央财经大学官方的推免生申请要求为例，将科研成果列为专项推免的必须条件，且给出了省级以上科研发表的水准要求和
截止时间！
官网资料：http://sf.cufe.edu.cn/info/1121/11103.htm
公众号：清北保研路

--- 第24页 ---
保研篇⸺科研背提对于国内保研的帮助   |   22
ACADEMIC RESEARCH WHITE PAPER
以天津财经大学推荐免试研究生实施细则为例，根据论文发表的等级，有对应的加权分数
以中南财经政法大学推荐免试研究生实施细则为例
在第十一条 奖励分具体计分办法中规定
( 六) 在国家权威刊物上公开发表学术论文，独撰的每篇奖励20 分，合著的每篇第一、第二、第三作者分别奖励10 分、8 分、6 分;
在核心刊物发表学术论文，独撰的每篇奖励10 分，合著的每篇第一、第二、第兰作者，分别奖励7 分、5 分、3 分; 在其他公开出版
的学术刊物上发表学术论文，独撰的每篇奖励3 分, 合著的每篇第一、第二作者分别奖励2 分、1 分。
公众号：清北保研路

--- 第25页 ---
保研篇⸺科研背提对于国内保研的帮助   |   23 
ACADEMIC RESEARCH WHITE PAPER
保研篇⸺科研背提对于国内保研的帮助
GUARANTEE AND RESEARCH -- THE HELP OF SCIENTIFIC RESEARCH BACKGROUND TO DOMESTIC GUARANTEE AND RESEARCH
第二，有助于你达到更好院校的保研接收条件
保研流程一般有3步：获得保研资格⸺参加夏令营完成笔试面试⸺确定保研名额，每一步都与科研论文有重大联系。
科研背提的作用
保研流程
学校会综合考虑学业成绩+学术成果+社会实践。其中学术成果指的是须提交已发表论文
等学术成果。
可能会涉及最近关注的研究领域、成果、思考
老师更关注简历上的科研经历，可能会对论文的选题、研究方法、结论等进行提问。
一般都是必修课成绩+面试成绩+加分项（也有的学校会把加分项叫成综合测评）。论文
就算在这里的加分项里。
举个例子来看一下，常见院校在确定保研录取名额时候的加分项怎么算
1、工作获奖：三好学生，分数在0.5-5分不等
2、奖学金：分数在0.5-4分不等
3、科研论文：分数在2-10分不等（其中2分很容易，参与一个项目就可以加分了）
4、比赛获奖：分数在0.1-5分不等
5、其他加分项：如参军，发明专利等
总体而言我们可以发现，科研论文的加分是相对容易的，在奖学金里面一等奖才能加2
分，参与一个科研项目也能加2分，明显后者更容易一些。
而且我们知道，保研直博都是竞争极为激烈，大家成绩都差不多，最后都要看各项加分
是不是都加上的，缺一不可。
确定最终保研名额
夏令营面试
夏令营笔试
获得保研资格
公众号：清北保研路

--- 第26页 ---
保研篇⸺科研背提对于国内保研的帮助   |   24 
ACADEMIC RESEARCH WHITE PAPER
第三，招你的导师看重科研经历
无论你是参加推免夏令营，还是九月份的正式推免，简历筛选是必经的考验。而简历的筛选者，大多都是该高校学院里的
导师们，那导师们都看重些什么呢？除了你在本校的排名之外，本科阶段的科研经历也是导师们特别关注的。这主要是因为研
究生阶段主要是以从事科研工作为主，需要拥有提出问题、独立分析和解决问题的能力，本科阶段有相关科研经历必定会对未
来的研究生生活起到一定的帮助。导师通过与学生交流参加科研活动的体会，来考察一个学生对待科研的态度和是否适合从事
自己的研究方向，这点对于有意向申请直博的学生更为重要。在交流的过程中，导师也可以大体了解学生对专业相关基础知识
的掌握情况。因此如果你在本科阶段就有了科研经历，在推免申请中无疑是很好的一个亮点。
以中山大学管理学院2022年保研夏令营条件为例，学术论文、发刊论文等科研学术成果是重要参考项目。
公众号：清北保研路

--- 第27页 ---
考研篇⸺科研背提对于国内考研的帮助   |   25
ACADEMIC RESEARCH WHITE PAPER
考研篇⸺科研背提对于国内考研的帮助
THE HELP OF SCIENTIFIC RESEARCH RECITATION TO THE DOMESTIC POSTGRADUATE ENTRANCE EXAMINATION
考研大环境：越来越卷，初试通过人数越来越多！
论文对考研复试加分作用很大！
2022年考研人数为457万，比去年增加了80万。不仅考研人数逐年增加，国家线也水涨船高⸺在一些学科大类，三年前可以
进复试的成绩现在成为了最低标准。
2022考研各学科门类
国家线单科普涨3分左右
总分线普涨10分以上
考研主要分为初试和复试两个大的阶段，论文对考研初试是没有作用的，这一点要明确。但是在复试的时候，我们可以下面的
复试评分表，其中有本专业的论文，会根据论文发表的等级，给予2-5分的加分。
复试得分占比不容小觑，不能不重视在复试加分！
每个学校初复试占比不用，常见的是【初试成绩*60%+复试成绩*40%】或者【初试成绩 50% +复试成绩*50%】。
2020 年中国在校大
学生规模
>3599 万
2022 年全国硕士研
究生报名人数, 比
2021 年增长80 万，
增幅达到21%
>457 万
2022 年研究生招生
总人数预计，录取率
预计为26.3%
≈120 万
选择报考同层级或
更高层级的院校,
重点院校推免生比
例居高不下
>70%
公众号：清北保研路

--- 第28页 ---
中国地质大学(武汉)经济管理学院
中国地质大学(武汉）经济管理学院去年的复试中，分值分别从考生自述(1-2分钟)、考生抽题、考生回答、专家提问、
专家评分5个部分进行打分。
考研篇⸺科研背提对于国内考研的帮助   |   26
ACADEMIC RESEARCH WHITE PAPER
以中国地质大学（武汉）经济管理学院复试打分表为例。
考核部分
本科学业能力评价(100分)
专业能力及综合素质(100分)
 
考生自述以及作答过程
个人素质表现(100分)
评分项目
及总分
优秀
（100-90分）
良好
（89-80分）
合格
（79-60分）
不合格
（59-0分）
分值（满分）
占比
100
10%
70%
20%
100
100
本科学业能力评价(大学主干课程成绩、科研经历、成果、发表文章、毕业论文概
要、获奖等)
学分绩点专业排名靠前;通过英
语六级;已参加导师科研项目并
有成果（发表相关文章、科研项
目获奖);毕业论文撰写水平较高;
有与专业相关实习经历;有我校
认可的竞赛类奖项;有其他获奖
证书、荣誉称号;积极参与社会
实践;思想道德品行良好;其他。
学分绩点专业排名居中，通过英
语四、六级，参加过相关科研项
目，毕业论文撰写水平良好，有
实习经历;有我校认可的竞赛参
赛经历;有其他获奖证书、荣誉
称号;有社会实践活动;思想道德
品行良好;其他。
专业基础知识扎实;回答切题,逻
辑思维能力较好;对问题有自己
的分析;对学术研究有兴趣;有一
定的创新意识、创新能力，具备
培养潜力。
对专业基础知识掌握尚可;能基本
理解问题,回答言之有物;对学术
研究有一定兴趣;培养潜力一般。
对专业基础知识不熟悉;回答不
切题;对学术研究兴趣—般;培养
潜力一般。
学分绩点专业排名居中,通过英
语四级,毕业论文撰写水平尚可;
有社会实践活动;思想道德品行
良好;其他
学业主干课成绩有不及格,未通过
英语四级,毕业论文水平达不到我
院本科生毕业论文最低要求;有其
他不良记录的。
专业基础知识扎实;能准确、有
条理回答各项提问;综合分析能
力较强;对问题分析有独到见解;
学术研究兴趣浓厚;有较强的创
新意识、创新能力,有较好培养
潜力。
口头表达清晰、准确、流
畅、有条理;思辨能力较好;
临场应变能力强;英语听说
能力强;个人仪表得体、自
信、态度谦虚。
口头表达清晰、准确;有一
定思辨能力;有一定临场应
变能力;英语听说能力较好;
个人仪表得体、较为自信，
态度谦虚。
口头表达比较清楚,较有逻
辑性;英文应答尚可;个人仪
表得体、态度良好
口头表达一般,语言沟通欠
通畅,英文应答较困难;个人
仪表得体。
考生自述以及作答过程个人素质情况(精神风貌、英语听说、思辨能力、应变能力、
语言沟通、心理品质)
专业能力及综合素质(含主观题一题、客观题一题、随机问答)
等
级
标
准
及
分
值
公众号：清北保研路

--- 第29页 ---
考研篇⸺科研背提对于国内考研的帮助   |   27
ACADEMIC RESEARCH WHITE PAPER
中央财经大学复试评分表中规定，不论是否发表本专业相关的论文，都会有对应的加分。
公众号：清北保研路

--- 第30页 ---
考研篇⸺科研背提对于国内考研的帮助   |   28
ACADEMIC RESEARCH WHITE PAPER
 在考研面试的时候，有的学校会提前收集同学们的材料，有的学校会在面试当场要求提交材料，这些材料最后就送
到面试官的手中，当他们看到这些奖励和荣誉的时候一定是会给出高分的。而且运气好遇到研究方向恰好一致的导师
说不定当场就给了邀请。
以上海交大的复试材料为例，科研论文的发表相关项几乎是必须提交项。
导师双选的时候这些荣誉和科研经历能起到非常大的作用，导师们非常喜爱有一定研究经验和经历的同学，如果你的经历
正好和他的研究方向关联，那么恭喜你，有很大可能你会和这位导师配对成功，要知道在读研期间能选到一个满意的导师可是
不容易的。
知乎上同学的真实反馈：
公众号：清北保研路

--- 第31页 ---
读博篇⸺科研背提对于国内直博/申博的帮助   |   29 
ACADEMIC RESEARCH WHITE PAPER
读博篇⸺科研背提对于国内直博/申博的帮助
THE HELP OF SCIENTIFIC RESEARCH BACKGROUND TO DOMESTIC DIRECT DOCTORAL / APPLICATION FOR DOCTORAL
对直博的帮助
直博依然需要拿到本校的保研资格，因此，在取得保研资格这块论文还是必须的。
申请博士最主要看的就是发表的文章以及研究方向和教授的方向是否对口。
总体而言：保研和直博在论文这块的要求是一致的，博士会相对高一些，所以一般不推荐同学直博，因为研究生阶段可以硕转
博。
中科院的直博要求就写的很明显，要求一篇第一作者的SCI论文。
公众号：清北保研路

--- 第32页 ---
读博篇⸺科研背提对于国内直博/申博的帮助   |   30 
ACADEMIC RESEARCH WHITE PAPER
对申博的帮助
1、个人信息表
一般是自己的情况介绍，包括年龄、民族、出生年月、本科研究生毕业证书相关信息等。
2、个人学习及研究经历
这个内容一般包括个人学术及学术研究经历、在学期间取得的成就、报考动机、未来发展构想等等。一般没有
具体模板，申请者自行撰写即可。
3、科研情况以及学术论文代表作汇总
这些如是撰写就可以了，一般申请者的主要学术背景资料会在网上公开，所以申请者在撰写时，一定要保证真
实性。有意走申请-考核制读博的同学，要知道科研论文才是最好的"硬通货"，因为没有论文，是通不过资格
审查环节的。
1、笔试环节：有的院校没有这个环节，有的院校有。如果要报读的院校有笔试环节的话，申请者除了做好专
业知识的复习之外，还要做好长时间作答试卷的准备。一般笔试环节持续时间长2-4小时不等。
2、面试环节：当通过一系列资格审核后，很多院校会组织专家评委对报考者进行面试考核。申请考核制下答
辩成绩还是很重要的。对于这种一人面对诸多导师的答辩现场，报考者一定要自信从容，保持仪态整洁大方，
回答评审专家问题时，真诚专注，切忌不懂装懂。
博士申请申请者要寄交的的材料
后续环节注意事项
1、提前准备材料：9月底留心各院校的招生简章；提前联系导师，在满足学校、学院的要求情况下得到导师认
可；见导师时，提前准备PPT，包含自我介绍、科研经历、实验技能、英语情况等；导师约谈顺利的话，会直
接承诺要你，那么就等学校报名系统开始，按部就班的走流程就可以了
2.精心准备审核材料：“申请考核制”博士对于院校来说，申请者递交的材料才是最重要的。
博士申请考核注意事项
科研论文是申博提交申请材料时，最重要的材料，没有论文，是无法通过审查环节的。
公众号：清北保研路

--- 第33页 ---
留学篇⸺科研背提对于出国留学的帮助   |   31
ACADEMIC RESEARCH WHITE PAPER
留学篇⸺科研背提对于出国留学的帮助
STUDY ABROAD -- THE HELP OF SCIENTIFIC RESEARCH RECITATION FOR STUDYING ABROAD
出国留学，竞争在逐渐增加
2017年到2022年中国出国留学生人数的复合年均增长率约为7.2%，预计2022年将达到83.05万人。
3.3 %
牛津大学
剑桥大学
斯坦福大学
哈佛大学
5.9 %
3.95 %
5 %
名校录取率=硬实力+软实力
硬指标：院校实力 + GPA 高低 + 专业相关度。
软实力：进入申请季，除了上述已成定局的硬性因素，名校现在越来越关注学生的综合能力，包括学生的科研能力、 解决问题
的能力、批判性思维、领导力、团队精神、创造力、沟通能力等。而这些能力需要通过参加学术研究、实习、志愿服务等实践
活动来提升并且展示给国外院校。
上述这些实力，将在申请阶段体现渗透于：CV（简历）、PS（个人陈述）、ESSAY（学术论文）、RL（推荐信）、INTER-
VIEW （面试）等环节中。
公众号：清北保研路

--- 第34页 ---
留学篇⸺科研背提对于出国留学的帮助   |   32
ACADEMIC RESEARCH WHITE PAPER
名校对学生的科研经历/论文发表等提出不同程度要求
公众号：清北保研路

--- 第35页 ---
留学篇⸺科研背提对于出国留学的帮助   |   33
ACADEMIC RESEARCH WHITE PAPER
例子: We aimed to ﬁnd the exact mechanism for the suppression ofosteogenic diﬀerentiation of bone Marrow 
Mesenchymal in high glucose, whichhas the prospect of becoming a mechanism for develop drug to treat dia-
beticosteoporosis, one of the common disease for the old.
科研经历/论文发表在留学申请材料中的展现
简历：往年 TOP50 名校录取者简历，科研相关项描述所占篇幅高达 30-40%
个人陈述：这份材料里，需要同学深挖自己的学术和实践经历。描述自己的学术研究经历和成果，是很多名校申请者的不二之
选。例如，经历会深挖到：做了什么科研项目？跟谁做的？用到了什么技术？这个成果有多难实现？成果对于社会有什么重要
意义？项目过程中面临的挑战是什么？为什么换了研究方法来佐证？在这个过程中你的最大收获是什么？
例
子 : l have learnt a lot of cell biological molecular techniques, animalexperiment techniques and skills of 
establishing experiment scheme from thisproject. The more important thing I get from this project is a trea-
sure experienceof scientiﬁc research.As the project leader, I learn not only skills about how todevelop a scien-
tiﬁc research but also the importance about teamwork and skillsof communication between team members.
公众号：清北保研路

--- 第36页 ---
留学篇⸺科研背提对于出国留学的帮助   |   34
ACADEMIC RESEARCH WHITE PAPER
推荐信：为了丰富专业背景参加科研项目，很多同学也是奔着推荐信去的，当你参加一段科研项目，表现不错的话，拿到导师
的推荐信也是水到渠成的事情。如果你参加的是海外暑研，能获得海外导师从科研能力上对你赞许的推荐信，这样有含金量的
推荐信是最有说服力的，为申请助攻。
公众号：清北保研路

--- 第37页 ---
科研规划标准时间表   |   35
ACADEMIC RESEARCH WHITE PAPER
科研规划标准时间表
STANDARD SCHEDULE OF SCIENTIFIC RESEARCH PLANNING
保研（直博适用）时间线与行动方案
年级
大一
大二
大三
大四
1、找到适合自己的学习方式（比如VARK），把成绩尽量稳定在班级前列
2、搜集、熟悉本校的保研政策，了解本校本专业是否有保研名额以及本专业的保研比例
3、四六级的备考+提升学术基本素养，了解专业内的竞赛活动和学术活动
1、刷成绩、保持高排名，主动联系专业课导师，在大二下学期的时候就开始论文的写作和投稿
2、学术能力的培养，比如参加“本科生科研训练计划(SRTP)”或学术活动
3、四级通过后六级持续性刷分、参加全国性竞赛、适当实习，提前了解自己的职业规划
1、冲刺绩点
2、继续写论文、发论文或根据本校保研的打分标准，针对性地参加全国性比赛
3、了解、准备保研所需要的各类材料
1、准备好保研的各类材料，如个人陈述、简历和推荐信等材料
2、准备面试、学习面试技巧，锻炼英语口语，复习重点专业知识等
3、把握好夏令营报名、保研预报名、九月推免等三次机会
考研时间线与行动方案
年级
大一
大二
大三
大四
1、找到适合自己的学习方式，把成绩尽量稳定在班级前列
2、学好各类基础课，尽量搜集就业信息，确立考研的大致方向
3、通过英语四级考试
1、刷成绩、保持高排名，主动联系专业课导师，在大二下学期的时候就开始论文的写作和投稿
2、四级通过后六级持续性刷分、提前了解自己的职业规划，确立自己的考研方向，可以适当找一段
实习感受一下
3、搜集目标院校的考研政策，详细了解成功率和可能性
4、学术能力的培养，比如参加“本科生科研训练计划(SRTP)”或学术活动
1、冲刺复习，具体确立考研方向并搜集考研相关政策
2、继续写论文、发论文，针对性地参加全国性比赛
1、参加考研，取得好成绩
2、准备复试准备和复试材料
3、必要的时候了解调剂政策并确定选择
大学生国内升学行动方案
公众号：清北保研路

--- 第38页 ---
科研规划标准时间表   |   36
ACADEMIC RESEARCH WHITE PAPER
年级
行动方案
大一
大二
大三
大四
1、确保成绩排名靠前
2、初步确定专业方向（如需专业分流）
3、了解科研，且最好开始第一个课题研究
1、冲刺GPA，备考托福，在下半学期冲刺考出托福，准备GRE/GMAT考试
2、暑期参与暑期研学项目或实习
3、科研课题的撰写及初步成稿
1、冲刺GPA，进行第一次GRE/GMAT考试
2、根据大二暑期情况，选择性参加含金量更高的SUMMER SCHOOL或暑研或学术会议
3、第二个科研项目需开始进行，下学期尽量完成且准备研究生计划书开始申请
1、整理申请材料，等待OFFER
2、确定OFFER并递交押金
3、提前联系导师开始阅读相关领域文献
留学行动方案
公众号：清北保研路

--- 第39页 ---
科研规划标准时间表   |   37
ACADEMIC RESEARCH WHITE PAPER
大一：定目标
夯实基础，明确目标
1、弄清楚论文发表的要求
发期刊论文用途很多，常见于平时加分、保研加分、评奖学金、考研复试等，明确清楚自己发表论文
的目的是什么
2、搜集学校相关政策
明确清楚自己对刊物以及文章的要求，需要国家级还是省级，专刊还是综合刊
3、学好公共基础课程，为专业课题研究打基础
大二：找方向
夯实基础，前期准备
1、学好公共基础课程及专业课程
2、联系导师
如果准备发核心期刊，需要开始联系指导老师，寻求专业老师的指导和帮助，如果发普刊，最好也找
一下专业导师进行相关指导
3、了解论文发表的注意事项
如期刊的选择、投稿渠道、期刊发表中的各个时间截点
4、选定研究主题，准备素材、查找资料
大三：做成果
论文写作及发表
1、完成论文，开始投稿，并追踪稿件状态
2、根据发论文的目标，准备完成其他论文的书写及投递工作
大四：做成果
论文写作及发表
1、继续进行论文书写、投稿，追踪稿件状态
2、整理论文发表情况，以便在考研、保研，出国留学等进行相关材料的确认和递交
各年级准备论文的行动方案
公众号：清北保研路

--- 第40页 ---
论文与论文发表
Part 4 
公众号：清北保研路

--- 第41页 ---
论文/论文发表   |   39
论文/论文发表
THESIS / PUBLICATION
ACADEMIC RESEARCH WHITE PAPER
科研其实是综合能力的体现，论文是科研能力的体现形式之一
什么是论文？
·科研≠论文
·读文献，快速学习、总结归纳的能力
·总结归纳、反思、举一反三的能力
·设计实验和对比实验的能力
·分析实验结果，决定改进方法或决定放弃的能力
·写出一篇论文的写作能力
什么是论文发表？
录用
ACCOPTOD
由学术编辑/编委/主编负责，通过初审、同行评审、编委评审、主编评审等流程后，发放电子
版录用证明（一般为电子邮件）
~3-6个月
CONF-CDS 2022 / ICEMGD 2022 / ACM MM 2022 / IEEE CVPR 2022;NATURE / SCIENCE / JOR / AMJ / ...
见刊
lssued
由学术出版社负责，通过校对初审、学术评审等流程后，安排见刊出版发放电子（一般为电子邮
件）
~6-12个月
Springer nature press / elsevier / wiley / taylcr& francls / group / ...
检索
lidexed
由学术数据库负责，通过校对初审、学术评审等流程后，安排检索入库（全部为电子数据库）
SCL /SSCL / EL / CPCI / SCOPUS ...
公众号：清北保研路

--- 第42页 ---
国内外论文等级及检索全解析   |   40
国内外论文等级及检索全解析
FULL ANALYSIS OF PAPER GRADE AND RETRIEVAL AT HOME AND ABROAD
ACADEMIC RESEARCH WHITE PAPER
EI
·EI(THE ENGINEERING INDEX)《工程索引》是由美国工程师学会联合会于1884年创办的历史上最悠久的一部大型综
合性检索工具。EL在全球的学术界、工程界、信息界中享有盛誉，是科技界共同认可的重要检索工具。EL是供查阅工
程技术领域文献的综合性情报检索刊物。
·由美国工程信息公司编辑出版。每年摘录世界工程技术期刊约3000种还有会议文献、图书、技术报告和学位论文等，
报道文摘约15万条，内容包括全部工程学科和工程活动领域的研究成果。
·EI收录文献涉及的领域:
ISLIDE
国际论文检索等级
CPCI
CPCI(CONFERENCE PROCEEDING CITATION INDEX)《会议文献引用索引》是一种综合性的科技会议文献检索刊物，
只收录会议论文，不收录期刊论文。CPCI隶属于美国科学情报研究所(INSTITUTE FOR SCIENTIFIC INFORMATION，
ISI)与SCI、SSCI两大索引共享同一检索平台-WEB OF SCIENCE。该检索工具收录包括自然科学、技术科学以及历史与
哲学等，覆盖的学科范围广，收录会议文献齐全，而且检索途径多，出版速度快，已成为了检索全世界正式出版的会
